127.0.0.1 - - [29/Nov/2021:23:42:13 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/ HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/js/validaLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/js/md5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/img/shomer.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /Control_Shomer/s_resources/img/shomer1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:23:54:54 -0500] "GET /favicon.ico HTTP/1.1" 404 690
